product_id,category,sub_category,product_name,product_keyword,cat_key,subcat_key,bag,bow
OFF-BI-10002429,Office Supplies,Binders,"Premier Elliptical Ring Binder, Black","['premier', 'elliptical', 'ring', 'binder', 'black']",['officesupplies'],['binders'],"['officesupplies', 'binders', 'premier', 'elliptical', 'ring', 'binder', 'black']",officesupplies binders premier elliptical ring binder black
OFF-BI-10003196,Office Supplies,Binders,Accohide Poly Flexible Ring Binders,"['accohide', 'poly', 'flexible', 'ring', 'binders']",['officesupplies'],['binders'],"['officesupplies', 'binders', 'accohide', 'poly', 'flexible', 'ring', 'binders']",officesupplies binders accohide poly flexible ring binders
OFF-ST-10001172,Office Supplies,Storage,"Tennsco Lockers, Sand","['tennsco', 'lockers', 'sand']",['officesupplies'],['storage'],"['officesupplies', 'storage', 'tennsco', 'lockers', 'sand']",officesupplies storage tennsco lockers sand
OFF-EN-10003068,Office Supplies,Envelopes,#6 3/4 Gummed Flap White Envelopes,"['6', '3', '4', 'gummed', 'flap', 'white', 'envelopes']",['officesupplies'],['envelopes'],"['officesupplies', 'envelopes', '6', '3', '4', 'gummed', 'flap', 'white', 'envelopes']",officesupplies envelopes 6 3 4 gummed flap white envelopes
OFF-LA-10003510,Office Supplies,Labels,"Avery 4027 File Folder Labels for Dot Matrix Printers, 5000 Labels per Box, White","['avery', '4027', 'file', 'folder', 'labels', 'dot', 'matrix', 'printers', '5000', 'per', 'box', 'white']",['officesupplies'],['labels'],"['officesupplies', 'labels', 'avery', '4027', 'file', 'folder', 'labels', 'dot', 'matrix', 'printers', '5000', 'per', 'box', 'white']",officesupplies labels avery 4027 file folder labels dot matrix printers 5000 per box white
OFF-AR-10003504,Office Supplies,Art,Newell 347,"['newell', '347']",['officesupplies'],['art'],"['officesupplies', 'art', 'newell', '347']",officesupplies art newell 347
TEC-PH-10004071,Technology,Phones,PayAnywhere Card Reader,"['payanywhere', 'card', 'reader']",['technology'],['phones'],"['technology', 'phones', 'payanywhere', 'card', 'reader']",technology phones payanywhere card reader
OFF-AR-10001044,Office Supplies,Art,"BOSTON Ranger #55 Pencil Sharpener, Black","['boston', 'ranger', '55', 'pencil', 'sharpener', 'black']",['officesupplies'],['art'],"['officesupplies', 'art', 'boston', 'ranger', '55', 'pencil', 'sharpener', 'black']",officesupplies art boston ranger 55 pencil sharpener black
TEC-AC-10004975,Technology,Accessories,Plantronics Audio 995 Wireless Stereo Headset,"['plantronics', 'audio', '995', 'wireless', 'stereo', 'headset']",['technology'],['accessories'],"['technology', 'accessories', 'plantronics', 'audio', '995', 'wireless', 'stereo', 'headset']",technology accessories plantronics audio 995 wireless stereo headset
FUR-CH-10002024,Furniture,Chairs,HON 5400 Series Task Chairs for Big and Tall,"['hon', '5400', 'series', 'task', 'chairs', 'big', 'tall']",['furniture'],['chairs'],"['furniture', 'chairs', 'hon', '5400', 'series', 'task', 'chairs', 'big', 'tall']",furniture chairs hon 5400 series task chairs big tall
OFF-AP-10001293,Office Supplies,Appliances,Belkin 8 Outlet Surge Protector,"['belkin', '8', 'outlet', 'surge', 'protector']",['officesupplies'],['appliances'],"['officesupplies', 'appliances', 'belkin', '8', 'outlet', 'surge', 'protector']",officesupplies appliances belkin 8 outlet surge protector
OFF-PA-10004248,Office Supplies,Paper,Xerox 1990,"['xerox', '1990']",['officesupplies'],['paper'],"['officesupplies', 'paper', 'xerox', '1990']",officesupplies paper xerox 1990
OFF-PA-10001952,Office Supplies,Paper,Xerox 1902,"['xerox', '1902']",['officesupplies'],['paper'],"['officesupplies', 'paper', 'xerox', '1902']",officesupplies paper xerox 1902
TEC-PH-10003555,Technology,Phones,Motorola HK250 Universal Bluetooth Headset,"['motorola', 'hk250', 'universal', 'bluetooth', 'headset']",['technology'],['phones'],"['technology', 'phones', 'motorola', 'hk250', 'universal', 'bluetooth', 'headset']",technology phones motorola hk250 universal bluetooth headset
OFF-EN-10003862,Office Supplies,Envelopes,Laser & Ink Jet Business Envelopes,"['laser', 'ink', 'jet', 'business', 'envelopes']",['officesupplies'],['envelopes'],"['officesupplies', 'envelopes', 'laser', 'ink', 'jet', 'business', 'envelopes']",officesupplies envelopes laser ink jet business envelopes
FUR-FU-10002396,Furniture,Furnishings,"DAX Copper Panel Document Frame, 5 x 7 Size","['dax', 'copper', 'panel', 'document', 'frame', '5', 'x', '7', 'size']",['furniture'],['furnishings'],"['furniture', 'furnishings', 'dax', 'copper', 'panel', 'document', 'frame', '5', 'x', '7', 'size']",furniture furnishings dax copper panel document frame 5 x 7 size
OFF-PA-10004621,Office Supplies,Paper,Xerox 212,"['xerox', '212']",['officesupplies'],['paper'],"['officesupplies', 'paper', 'xerox', '212']",officesupplies paper xerox 212
FUR-CH-10001973,Furniture,Chairs,Office Star Flex Back Scooter Chair with White Frame,"['office', 'star', 'flex', 'back', 'scooter', 'chair', 'white', 'frame']",['furniture'],['chairs'],"['furniture', 'chairs', 'office', 'star', 'flex', 'back', 'scooter', 'chair', 'white', 'frame']",furniture chairs office star flex back scooter chair white frame
OFF-PA-10004040,Office Supplies,Paper,Universal Premium White Copier/Laser Paper (20Lb. and 87 Bright),"['universal', 'premium', 'white', 'copier', 'laser', 'paper', '20lb', '87', 'bright']",['officesupplies'],['paper'],"['officesupplies', 'paper', 'universal', 'premium', 'white', 'copier', 'laser', 'paper', '20lb', '87', 'bright']",officesupplies paper universal premium white copier laser paper 20lb 87 bright
TEC-AC-10000580,Technology,Accessories,Logitech G13 Programmable Gameboard with LCD Display,"['logitech', 'g13', 'programmable', 'gameboard', 'lcd', 'display']",['technology'],['accessories'],"['technology', 'accessories', 'logitech', 'g13', 'programmable', 'gameboard', 'lcd', 'display']",technology accessories logitech g13 programmable gameboard lcd display
OFF-ST-10001328,Office Supplies,Storage,"Personal Filing Tote with Lid, Black/Gray","['personal', 'filing', 'tote', 'lid', 'black', 'gray']",['officesupplies'],['storage'],"['officesupplies', 'storage', 'personal', 'filing', 'tote', 'lid', 'black', 'gray']",officesupplies storage personal filing tote lid black gray
OFF-PA-10004101,Office Supplies,Paper,Xerox 1894,"['xerox', '1894']",['officesupplies'],['paper'],"['officesupplies', 'paper', 'xerox', '1894']",officesupplies paper xerox 1894
TEC-AC-10001714,Technology,Accessories,Logitech MX Performance Wireless Mouse,"['logitech', 'mx', 'performance', 'wireless', 'mouse']",['technology'],['accessories'],"['technology', 'accessories', 'logitech', 'mx', 'performance', 'wireless', 'mouse']",technology accessories logitech mx performance wireless mouse
FUR-FU-10003849,Furniture,Furnishings,"DAX Metal Frame, Desktop, Stepped-Edge","['dax', 'metal', 'frame', 'desktop', 'stepped', 'edge']",['furniture'],['furnishings'],"['furniture', 'furnishings', 'dax', 'metal', 'frame', 'desktop', 'stepped', 'edge']",furniture furnishings dax metal frame desktop stepped edge
FUR-TA-10002041,Furniture,Tables,"Bevis Round Conference Table Top, X-Base","['bevis', 'round', 'conference', 'table', 'top', 'x', 'base']",['furniture'],['tables'],"['furniture', 'tables', 'bevis', 'round', 'conference', 'table', 'top', 'x', 'base']",furniture tables bevis round conference table top x base
OFF-ST-10002214,Office Supplies,Storage,X-Rack File for Hanging Folders,"['x', 'rack', 'file', 'hanging', 'folders']",['officesupplies'],['storage'],"['officesupplies', 'storage', 'x', 'rack', 'file', 'hanging', 'folders']",officesupplies storage x rack file hanging folders
OFF-AR-10003732,Office Supplies,Art,Newell 333,"['newell', '333']",['officesupplies'],['art'],"['officesupplies', 'art', 'newell', '333']",officesupplies art newell 333
OFF-PA-10002365,Office Supplies,Paper,Xerox 1967,"['xerox', '1967']",['officesupplies'],['paper'],"['officesupplies', 'paper', 'xerox', '1967']",officesupplies paper xerox 1967
FUR-FU-10004952,Furniture,Furnishings,"C-Line Cubicle Keepers Polyproplyene Holder w/Velcro Back, 8-1/2x11, 25/Bx","['c', 'line', 'cubicle', 'keepers', 'polyproplyene', 'holder', 'w', 'velcro', 'back', '8', '1', '2x11', '25', 'bx']",['furniture'],['furnishings'],"['furniture', 'furnishings', 'c', 'line', 'cubicle', 'keepers', 'polyproplyene', 'holder', 'w', 'velcro', 'back', '8', '1', '2x11', '25', 'bx']",furniture furnishings c line cubicle keepers polyproplyene holder w velcro back 8 1 2x11 25 bx
OFF-PA-10003001,Office Supplies,Paper,Xerox 1986,"['xerox', '1986']",['officesupplies'],['paper'],"['officesupplies', 'paper', 'xerox', '1986']",officesupplies paper xerox 1986
OFF-LA-10002312,Office Supplies,Labels,Avery 490,"['avery', '490']",['officesupplies'],['labels'],"['officesupplies', 'labels', 'avery', '490']",officesupplies labels avery 490
OFF-ST-10001522,Office Supplies,Storage,"Gould Plastics 18-Pocket Panel Bin, 34w x 5-1/4d x 20-1/2h","['gould', 'plastics', '18', 'pocket', 'panel', 'bin', '34w', 'x', '5', '1', '4d', '20', '2h']",['officesupplies'],['storage'],"['officesupplies', 'storage', 'gould', 'plastics', '18', 'pocket', 'panel', 'bin', '34w', 'x', '5', '1', '4d', '20', '2h']",officesupplies storage gould plastics 18 pocket panel bin 34w x 5 1 4d 20 2h
OFF-ST-10000563,Office Supplies,Storage,Fellowes Bankers Box Stor/Drawer Steel Plus,"['fellowes', 'bankers', 'box', 'stor', 'drawer', 'steel', 'plus']",['officesupplies'],['storage'],"['officesupplies', 'storage', 'fellowes', 'bankers', 'box', 'stor', 'drawer', 'steel', 'plus']",officesupplies storage fellowes bankers box stor drawer steel plus
OFF-BI-10004022,Office Supplies,Binders,Acco Suede Grain Vinyl Round Ring Binder,"['acco', 'suede', 'grain', 'vinyl', 'round', 'ring', 'binder']",['officesupplies'],['binders'],"['officesupplies', 'binders', 'acco', 'suede', 'grain', 'vinyl', 'round', 'ring', 'binder']",officesupplies binders acco suede grain vinyl round ring binder
TEC-AC-10001606,Technology,Accessories,Logitech Wireless Performance Mouse MX for PC and Mac,"['logitech', 'wireless', 'performance', 'mouse', 'mx', 'pc', 'mac']",['technology'],['accessories'],"['technology', 'accessories', 'logitech', 'wireless', 'performance', 'mouse', 'mx', 'pc', 'mac']",technology accessories logitech wireless performance mouse mx pc mac
OFF-ST-10000943,Office Supplies,Storage,Eldon ProFile File 'N Store Portable File Tub Letter/Legal Size Black,"['eldon', 'profile', 'file', 'n', 'store', 'portable', 'tub', 'letter', 'legal', 'size', 'black']",['officesupplies'],['storage'],"['officesupplies', 'storage', 'eldon', 'profile', 'file', 'n', 'store', 'portable', 'tub', 'letter', 'legal', 'size', 'black']",officesupplies storage eldon profile file n store portable tub letter legal size black
OFF-BI-10000315,Office Supplies,Binders,Poly Designer Cover & Back,"['poly', 'designer', 'cover', 'back']",['officesupplies'],['binders'],"['officesupplies', 'binders', 'poly', 'designer', 'cover', 'back']",officesupplies binders poly designer cover back
FUR-FU-10002240,Furniture,Furnishings,Nu-Dell EZ-Mount Plastic Wall Frames,"['nu', 'dell', 'ez', 'mount', 'plastic', 'wall', 'frames']",['furniture'],['furnishings'],"['furniture', 'furnishings', 'nu', 'dell', 'ez', 'mount', 'plastic', 'wall', 'frames']",furniture furnishings nu dell ez mount plastic wall frames
TEC-PH-10002293,Technology,Phones,Anker 36W 4-Port USB Wall Charger Travel Power Adapter for iPhone 5s 5c 5,"['anker', '36w', '4', 'port', 'usb', 'wall', 'charger', 'travel', 'power', 'adapter', 'iphone', '5s', '5c', '5']",['technology'],['phones'],"['technology', 'phones', 'anker', '36w', '4', 'port', 'usb', 'wall', 'charger', 'travel', 'power', 'adapter', 'iphone', '5s', '5c', '5']",technology phones anker 36w 4 port usb wall charger travel power adapter iphone 5s 5c 5
TEC-AC-10000109,Technology,Accessories,Sony Micro Vault Click 16 GB USB 2.0 Flash Drive,"['sony', 'micro', 'vault', 'click', '16', 'gb', 'usb', '2', '0', 'flash', 'drive']",['technology'],['accessories'],"['technology', 'accessories', 'sony', 'micro', 'vault', 'click', '16', 'gb', 'usb', '2', '0', 'flash', 'drive']",technology accessories sony micro vault click 16 gb usb 2 0 flash drive
TEC-AC-10002345,Technology,Accessories,HP Standard 104 key PS/2 Keyboard,"['hp', 'standard', '104', 'key', 'ps', '2', 'keyboard']",['technology'],['accessories'],"['technology', 'accessories', 'hp', 'standard', '104', 'key', 'ps', '2', 'keyboard']",technology accessories hp standard 104 key ps 2 keyboard
OFF-BI-10001553,Office Supplies,Binders,SpineVue Locking Slant-D Ring Binders by Cardinal,"['spinevue', 'locking', 'slant', 'ring', 'binders', 'cardinal']",['officesupplies'],['binders'],"['officesupplies', 'binders', 'spinevue', 'locking', 'slant', 'ring', 'binders', 'cardinal']",officesupplies binders spinevue locking slant ring binders cardinal
OFF-BI-10003676,Office Supplies,Binders,"GBC Standard Recycled Report Covers, Clear Plastic Sheets","['gbc', 'standard', 'recycled', 'report', 'covers', 'clear', 'plastic', 'sheets']",['officesupplies'],['binders'],"['officesupplies', 'binders', 'gbc', 'standard', 'recycled', 'report', 'covers', 'clear', 'plastic', 'sheets']",officesupplies binders gbc standard recycled report covers clear plastic sheets
FUR-CH-10004086,Furniture,Chairs,Hon 4070 Series Pagoda Armless Upholstered Stacking Chairs,"['hon', '4070', 'series', 'pagoda', 'armless', 'upholstered', 'stacking', 'chairs']",['furniture'],['chairs'],"['furniture', 'chairs', 'hon', '4070', 'series', 'pagoda', 'armless', 'upholstered', 'stacking', 'chairs']",furniture chairs hon 4070 series pagoda armless upholstered stacking chairs
OFF-BI-10001670,Office Supplies,Binders,Vinyl Sectional Post Binders,"['vinyl', 'sectional', 'post', 'binders']",['officesupplies'],['binders'],"['officesupplies', 'binders', 'vinyl', 'sectional', 'post', 'binders']",officesupplies binders vinyl sectional post binders
OFF-ST-10001476,Office Supplies,Storage,Steel Personal Filing/Posting Tote,"['steel', 'personal', 'filing', 'posting', 'tote']",['officesupplies'],['storage'],"['officesupplies', 'storage', 'steel', 'personal', 'filing', 'posting', 'tote']",officesupplies storage steel personal filing posting tote
TEC-PH-10004897,Technology,Phones,Mediabridge Sport Armband iPhone 5s,"['mediabridge', 'sport', 'armband', 'iphone', '5s']",['technology'],['phones'],"['technology', 'phones', 'mediabridge', 'sport', 'armband', 'iphone', '5s']",technology phones mediabridge sport armband iphone 5s
OFF-AR-10002656,Office Supplies,Art,Sanford Liquid Accent Highlighters,"['sanford', 'liquid', 'accent', 'highlighters']",['officesupplies'],['art'],"['officesupplies', 'art', 'sanford', 'liquid', 'accent', 'highlighters']",officesupplies art sanford liquid accent highlighters
TEC-PH-10004924,Technology,Phones,"SKILCRAFT Telephone Shoulder Rest, 2"" x 6.5"" x 2.5"", Black","['skilcraft', 'telephone', 'shoulder', 'rest', '2', 'x', '6', '5', '"",', 'black']",['technology'],['phones'],"['technology', 'phones', 'skilcraft', 'telephone', 'shoulder', 'rest', '2', 'x', '6', '5', '"",', 'black']","technology phones skilcraft telephone shoulder rest 2 x 6 5 "", black"
TEC-AC-10002567,Technology,Accessories,Logitech G602 Wireless Gaming Mouse,"['logitech', 'g602', 'wireless', 'gaming', 'mouse']",['technology'],['accessories'],"['technology', 'accessories', 'logitech', 'g602', 'wireless', 'gaming', 'mouse']",technology accessories logitech g602 wireless gaming mouse
OFF-ST-10002182,Office Supplies,Storage,"Iris 3-Drawer Stacking Bin, Black","['iris', '3', 'drawer', 'stacking', 'bin', 'black']",['officesupplies'],['storage'],"['officesupplies', 'storage', 'iris', '3', 'drawer', 'stacking', 'bin', 'black']",officesupplies storage iris 3 drawer stacking bin black
FUR-CH-10002965,Furniture,Chairs,"Global Leather Highback Executive Chair with Pneumatic Height Adjustment, Black","['global', 'leather', 'highback', 'executive', 'chair', 'pneumatic', 'height', 'adjustment', 'black']",['furniture'],['chairs'],"['furniture', 'chairs', 'global', 'leather', 'highback', 'executive', 'chair', 'pneumatic', 'height', 'adjustment', 'black']",furniture chairs global leather highback executive chair pneumatic height adjustment black
OFF-BI-10001636,Office Supplies,Binders,Ibico Plastic and Wire Spiral Binding Combs,"['ibico', 'plastic', 'wire', 'spiral', 'binding', 'combs']",['officesupplies'],['binders'],"['officesupplies', 'binders', 'ibico', 'plastic', 'wire', 'spiral', 'binding', 'combs']",officesupplies binders ibico plastic wire spiral binding combs
OFF-AR-10004027,Office Supplies,Art,"Binney & Smith inkTank Erasable Desk Highlighter, Chisel Tip, Yellow, 12/Box","['binney', 'smith', 'inktank', 'erasable', 'desk', 'highlighter', 'chisel', 'tip', 'yellow', '12', 'box']",['officesupplies'],['art'],"['officesupplies', 'art', 'binney', 'smith', 'inktank', 'erasable', 'desk', 'highlighter', 'chisel', 'tip', 'yellow', '12', 'box']",officesupplies art binney smith inktank erasable desk highlighter chisel tip yellow 12 box
FUR-CH-10000155,Furniture,Chairs,Global Comet Stacking Armless Chair,"['global', 'comet', 'stacking', 'armless', 'chair']",['furniture'],['chairs'],"['furniture', 'chairs', 'global', 'comet', 'stacking', 'armless', 'chair']",furniture chairs global comet stacking armless chair
FUR-FU-10000076,Furniture,Furnishings,24-Hour Round Wall Clock,"['24', 'hour', 'round', 'wall', 'clock']",['furniture'],['furnishings'],"['furniture', 'furnishings', '24', 'hour', 'round', 'wall', 'clock']",furniture furnishings 24 hour round wall clock
OFF-BI-10003719,Office Supplies,Binders,Large Capacity Hanging Post Binders,"['large', 'capacity', 'hanging', 'post', 'binders']",['officesupplies'],['binders'],"['officesupplies', 'binders', 'large', 'capacity', 'hanging', 'post', 'binders']",officesupplies binders large capacity hanging post binders
FUR-FU-10003268,Furniture,Furnishings,Eldon Radial Chair Mat for Low to Medium Pile Carpets,"['eldon', 'radial', 'chair', 'mat', 'low', 'medium', 'pile', 'carpets']",['furniture'],['furnishings'],"['furniture', 'furnishings', 'eldon', 'radial', 'chair', 'mat', 'low', 'medium', 'pile', 'carpets']",furniture furnishings eldon radial chair mat low medium pile carpets
FUR-FU-10003553,Furniture,Furnishings,"Howard Miller 13-1/2"" Diameter Rosebrook Wall Clock","['howard', 'miller', '13', '1', '2', 'diameter', 'rosebrook', 'wall', 'clock']",['furniture'],['furnishings'],"['furniture', 'furnishings', 'howard', 'miller', '13', '1', '2', 'diameter', 'rosebrook', 'wall', 'clock']",furniture furnishings howard miller 13 1 2 diameter rosebrook wall clock
OFF-FA-10000621,Office Supplies,Fasteners,"OIC Colored Binder Clips, Assorted Sizes","['oic', 'colored', 'binder', 'clips', 'assorted', 'sizes']",['officesupplies'],['fasteners'],"['officesupplies', 'fasteners', 'oic', 'colored', 'binder', 'clips', 'assorted', 'sizes']",officesupplies fasteners oic colored binder clips assorted sizes
FUR-FU-10003623,Furniture,Furnishings,"DataProducts Ampli Magnifier Task Lamp, Black,","['dataproducts', 'ampli', 'magnifier', 'task', 'lamp', 'black']",['furniture'],['furnishings'],"['furniture', 'furnishings', 'dataproducts', 'ampli', 'magnifier', 'task', 'lamp', 'black']",furniture furnishings dataproducts ampli magnifier task lamp black
TEC-PH-10002824,Technology,Phones,Jabra SPEAK 410 Multidevice Speakerphone,"['jabra', 'speak', '410', 'multidevice', 'speakerphone']",['technology'],['phones'],"['technology', 'phones', 'jabra', 'speak', '410', 'multidevice', 'speakerphone']",technology phones jabra speak 410 multidevice speakerphone
OFF-PA-10004965,Office Supplies,Paper,Xerox 1921,"['xerox', '1921']",['officesupplies'],['paper'],"['officesupplies', 'paper', 'xerox', '1921']",officesupplies paper xerox 1921
OFF-ST-10000617,Office Supplies,Storage,Woodgrain Magazine Files by Perma,"['woodgrain', 'magazine', 'files', 'perma']",['officesupplies'],['storage'],"['officesupplies', 'storage', 'woodgrain', 'magazine', 'files', 'perma']",officesupplies storage woodgrain magazine files perma
OFF-PA-10000380,Office Supplies,Paper,"REDIFORM Incoming/Outgoing Call Register, 11"" X 8 1/2"", 100 Messages","['rediform', 'incoming', 'outgoing', 'call', 'register', '11', 'x', '8', '1', '2', '"",', '100', 'messages']",['officesupplies'],['paper'],"['officesupplies', 'paper', 'rediform', 'incoming', 'outgoing', 'call', 'register', '11', 'x', '8', '1', '2', '"",', '100', 'messages']","officesupplies paper rediform incoming outgoing call register 11 x 8 1 2 "", 100 messages"
FUR-FU-10000175,Furniture,Furnishings,DAX Wood Document Frame.,"['dax', 'wood', 'document', 'frame']",['furniture'],['furnishings'],"['furniture', 'furnishings', 'dax', 'wood', 'document', 'frame']",furniture furnishings dax wood document frame
OFF-PA-10003129,Office Supplies,Paper,Tops White Computer Printout Paper,"['tops', 'white', 'computer', 'printout', 'paper']",['officesupplies'],['paper'],"['officesupplies', 'paper', 'tops', 'white', 'computer', 'printout', 'paper']",officesupplies paper tops white computer printout paper
OFF-LA-10004345,Office Supplies,Labels,Avery 493,"['avery', '493']",['officesupplies'],['labels'],"['officesupplies', 'labels', 'avery', '493']",officesupplies labels avery 493
OFF-AR-10003478,Office Supplies,Art,"Avery Hi-Liter EverBold Pen Style Fluorescent Highlighters, 4/Pack","['avery', 'hi', 'liter', 'everbold', 'pen', 'style', 'fluorescent', 'highlighters', '4', 'pack']",['officesupplies'],['art'],"['officesupplies', 'art', 'avery', 'hi', 'liter', 'everbold', 'pen', 'style', 'fluorescent', 'highlighters', '4', 'pack']",officesupplies art avery hi liter everbold pen style fluorescent highlighters 4 pack
FUR-CH-10003379,Furniture,Chairs,Global Commerce Series High-Back Swivel/Tilt Chairs,"['global', 'commerce', 'series', 'high', 'back', 'swivel', 'tilt', 'chairs']",['furniture'],['chairs'],"['furniture', 'chairs', 'global', 'commerce', 'series', 'high', 'back', 'swivel', 'tilt', 'chairs']",furniture chairs global commerce series high back swivel tilt chairs
